# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1909
#@/user_id	b4d312a8-44fb-429c-b7a3-9b6b97ef9ed4
a 	啊	c=7 d=1.11359 t=1909
a si 	阿斯	c=0 d=0.0491644 t=1909
an 	按	c=1 d=0.380983 t=1909
an ji du 	按季度	c=1 d=0.382893 t=1909
an zhuang 	安裝	c=19 d=4.06539 t=1909
ao 	奧	c=1 d=0.38868 t=1909
ba 	吧	c=2 d=0.96191 t=1909
ba 	把	c=2 d=0.802519 t=1909
ban 	版	c=2 d=0.612626 t=1909
ban 	辦	c=1 d=0.909373 t=1909
ban ben 	版本	c=2 d=0.631284 t=1909
ban bu cheng 	辦不成	c=1 d=0.932394 t=1909
ban fa 	辦法	c=2 d=0.666977 t=1909
bang ni 	幫你	c=1 d=0.99005 t=1909
bang wo 	幫我	c=3 d=0.748264 t=1909
bao 	包	c=1 d=0.822835 t=1909
bao cuo 	報錯	c=2 d=0.174343 t=1909
bei 	倍	c=1 d=0.839457 t=1909
bi fang 	必放	c=1 d=0.264477 t=1909
bi jiao 	比較	c=2 d=0.524663 t=1909
bi li bi li 	嗶哩嗶哩	c=1 d=0.0502874 t=1909
bi ye 	畢業	c=1 d=0.697676 t=1909
bi zhi 	壁紙	c=2 d=1.05222 t=1909
bian cheng 	變成	c=1 d=0.579842 t=1909
bian hao 	編號	c=1 d=0.228779 t=1909
bian liang 	變量	c=2 d=0.578281 t=1909
bian yi 	編譯	c=2 d=0.171418 t=1909
biao 	標	c=1 d=0.579842 t=1909
biao da 	表達	c=2 d=0.12694 t=1909
biao da shi 	表達式	c=7 d=3.05186 t=1909
biao ge 	表格	c=1 d=0.565525 t=1909
biao ti 	標題	c=3 d=0.17321 t=1909
bing 	並	c=5 d=1.34663 t=1909
bing qie 	並且	c=3 d=0.891401 t=1909
bo 	博	c=2 d=0.388075 t=1909
bo shi 	博士	c=1 d=0.481909 t=1909
bu 	不	c=5 d=1.32234 t=1909
bu cuo 	不錯	c=5 d=1.14083 t=1909
bu dou shi 	不都是	c=1 d=0.941765 t=1909
bu guo 	不過	c=2 d=1.12121 t=1909
bu neng 	不能	c=1 d=0.88692 t=1909
bu qu 	不去	c=1 d=0.683861 t=1909
bu shi 	不是	c=2 d=0.722527 t=1909
bu tong 	不同	c=6 d=3.92392 t=1909
bu yao 	不要	c=3 d=0.91768 t=1909
bu yi yang 	不一樣	c=1 d=0.0468877 t=1909
bu zhi dao 	不知道	c=5 d=1.18417 t=1909
ca se 	擦色	c=1 d=0.900325 t=1909
ca se ni 	擦色你	c=1 d=0.489192 t=1909
ca shi 	擦拭	c=0 d=0.140597 t=1909
ca shi dian nao 	擦拭電腦	c=1 d=0.715338 t=1909
cai 	才	c=2 d=1.07214 t=1909
cai dan 	菜單	c=1 d=0.496585 t=1909
cai neng 	才能	c=2 d=0.667151 t=1909
cai yong 	採用	c=1 d=0.179964 t=1909
can jia 	參加	c=3 d=0.443624 t=1909
can shu 	參數	c=3 d=1.01918 t=1909
ce shi 	測試	c=2 d=1.65959 t=1909
cha kan 	查看	c=2 d=0.172161 t=1909
chan pin 	產品	c=1 d=0.238115 t=1909
chang 	長	c=3 d=1.17912 t=1909
chang du 	長度	c=1 d=0.585669 t=1909
chang yong 	常用	c=2 d=0.960789 t=1909
cheng 	成	c=2 d=0.474734 t=1909
cheng du 	程度	c=2 d=0.973554 t=1909
cheng hao 	乘號	c=1 d=0.207008 t=1909
cheng li 	成立	c=1 d=0.225373 t=1909
cheng xu 	程序	c=2 d=1.51143 t=1909
chi 	喫	c=1 d=0.985112 t=1909
chong 	衝	c=1 d=0.110803 t=1909
chong lai 	重來	c=1 d=0.603506 t=1909
chong xin 	重新	c=1 d=0.582748 t=1909
chong zhuang 	重裝	c=1 d=0.752014 t=1909
chu cuo 	出錯	c=1 d=0.103312 t=1909
chu hao 	初號	c=1 d=0.56836 t=1909
chu le 	除了	c=1 d=0.852144 t=1909
chu li 	處理	c=1 d=0.218712 t=1909
chu li qi 	處理器	c=1 d=0.251579 t=1909
chuan 	串	c=2 d=1.14445 t=1909
chuan di 	傳遞	c=1 d=0.453845 t=1909
chun jing 	純淨	c=1 d=0.104874 t=1909
ci ku 	詞庫	c=2 d=1.60271 t=1909
cong 	從	c=5 d=0.763933 t=1909
cu 	粗	c=1 d=0.927743 t=1909
cun chu qi 	存儲器	c=1 d=0.173774 t=1909
cuo 	錯	c=2 d=0.722527 t=1909
cuo wu 	錯誤	c=1 d=0.0925506 t=1909
da an 	答案	c=0 d=0.0847894 t=1909
da fa 	打法	c=1 d=0.802519 t=1909
da ka 	打卡	c=1 d=0.955997 t=1909
da ming xing 	大明星	c=1 d=0.918512 t=1909
da xiao 	大小	c=1 d=0.353455 t=1909
da xue 	大學	c=8 d=2.9155 t=1909
da yin 	打印	c=9 d=2.30503 t=1909
dai 	帶	c=2 d=0.230075 t=1909
dai ma 	代碼	c=3 d=1.21122 t=1909
dai ti 	代替	c=1 d=0.88692 t=1909
dan du 	單獨	c=1 d=0.822835 t=1909
dan shi 	但是	c=2 d=0.860708 t=1909
dan wei 	單位	c=2 d=0.877571 t=1909
dang shi 	當時	c=1 d=0.131994 t=1909
dao 	到	c=1 d=0.0968105 t=1909
dao shi 	到時	c=1 d=0.32628 t=1909
dao shi 	導師	c=3 d=1.17737 t=1909
de 	地	c=1 d=0.245367 t=1909
de 	的	c=96 d=13.7228 t=1909
de tian du hou 	得天獨厚	c=1 d=0.752014 t=1909
de wen 	德文	c=1 d=0.463013 t=1909
dei 	得	c=1 d=0.918512 t=1909
deng 	等	c=1 d=0.548812 t=1909
di gui 	遞歸	c=1 d=0.183599 t=1909
di mi 	低迷	c=1 d=0.382893 t=1909
di qu 	地區	c=0 d=0.0369723 t=1909
di si ni 	迪斯尼	c=1 d=0.484325 t=1909
di yi zhou 	第一週	c=1 d=0.618783 t=1909
di zhi 	地址	c=4 d=0.657862 t=1909
dian 	點	c=5 d=1.34104 t=1909
dian nao 	電腦	c=1 d=0.071177 t=1909
diao cha xian shi 	調查顯示	c=0 d=0.0240508 t=1909
din yi 	𨈖一	c=1 d=0.418952 t=1909
ding 	定	c=1 d=0.421052 t=1909
ding yi 	定義	c=5 d=1.09736 t=1909
ding zhi 	定製	c=3 d=1.62037 t=1909
dong xi 	東西	c=0 d=0.0366045 t=1909
dong xi shu ju ku 	東西數據庫	c=1 d=0.367879 t=1909
dou 	都	c=5 d=1.88147 t=1909
dou shi 	都是	c=2 d=0.704688 t=1909
dou you 	都有	c=1 d=0.748264 t=1909
du liang 	度量	c=1 d=0.748264 t=1909
du qu 	讀取	c=4 d=1.20804 t=1909
duan 	段	c=3 d=0.774916 t=1909
duan hou 	段後	c=1 d=0.782705 t=1909
duan hua 	段話	c=1 d=0.0652193 t=1909
duan hua 	短話	c=1 d=0.0617291 t=1909
duan luo 	段落	c=5 d=2.49576 t=1909
dui 	對	c=3 d=0.650002 t=1909
dui le 	對了	c=1 d=0.126818 t=1909
dui qi 	對齊	c=1 d=0.594521 t=1909
dui ying 	對應	c=2 d=0.468501 t=1909
dun 	頓	c=1 d=0.99005 t=1909
duo 	多	c=1 d=0.0977834 t=1909
duo ge 	多個	c=1 d=0.612626 t=1909
duo jiao 	多叫	c=1 d=0.97531 t=1909
duo shao 	多少	c=1 d=0.412714 t=1909
e 	呃	c=1 d=0.090718 t=1909
e 	額	c=1 d=0.71177 t=1909
e gao 	惡搞	c=0 d=0.00632918 t=1909
er qie 	而且	c=3 d=1.26842 t=1909
fa 	法	c=1 d=0.467666 t=1909
fa 	發	c=2 d=1.31199 t=1909
fa xian 	發現	c=2 d=1.24497 t=1909
fan hui 	返回	c=1 d=0.185444 t=1909
fan yi 	翻譯	c=6 d=2.70586 t=1909
fan yi cheng 	翻譯成	c=1 d=0.0531307 t=1909
fang da 	放大	c=1 d=0.0761538 t=1909
fang dao 	放到	c=2 d=1.20375 t=1909
fang fa 	方法	c=2 d=0.127347 t=1909
fang zai 	放在	c=1 d=0.810584 t=1909
fei kong 	非空	c=1 d=0.154124 t=1909
fen 	分	c=1 d=0.951229 t=1909
fen bie 	分別	c=1 d=0.179066 t=1909
fen lei hao 	分類號	c=2 d=0.699048 t=1909
fen wei 	分爲	c=1 d=0.0720785 t=1909
feng jia 	逢假	c=1 d=0.263158 t=1909
feng mian 	封面	c=4 d=1.74173 t=1909
feng ping 	風評	c=1 d=0.187308 t=1909
feng xian 	風險	c=1 d=0.193013 t=1909
fou 	否	c=1 d=0.45612 t=1909
fu hao 	符號	c=1 d=0.150318 t=1909
fu li 	福利	c=1 d=0.293758 t=1909
fu wu qi 	服務器	c=1 d=0.869358 t=1909
fu zhi 	複製	c=1 d=0.447088 t=1909
gai cheng 	改成	c=1 d=0.494109 t=1909
gan 	幹	c=1 d=0.440432 t=1909
